,drug_name,targets,shared_by,shared_by_cid,shared_by_smiles
0,D00STL,T38284,D0D5EW,5311104,CC1=C(C=CC(=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl)F
1,D00STL,T38284,D03NPX,447077,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC
96,D06ETI,T12355,D0A5RM,9859248,C1=CC(=O)C=CC1=NNC2=C(NN=C2N)N
97,D06ETI,T12355,D06AOY,15422868,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CNC4=CC=CC=C43
98,D06ETI,T12355,D00NYT,10946795,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=C(C=C3)OC
99,D06ETI,T12355,D0C3WY,2752461,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
100,D06ETI,T12355,D0EK0G,11572699,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
116,D08MXP,T85799,D0EK0G,11572699,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
118,D08MXP,T85799,D0A5RM,9859248,C1=CC(=O)C=CC1=NNC2=C(NN=C2N)N
119,D08MXP,T85799,D06AOY,15422868,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CNC4=CC=CC=C43
120,D08MXP,T85799,D00NYT,10946795,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=C(C=C3)OC
121,D08MXP,T85799,D0C3WY,2752461,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
123,D08MXP,T85799,D0W6CE,10644450,CCC(C)C1C(C2C(CC(CC2(C(=O)C1(C)O)O)(C)O)C)(C)C(=O)C=COC
180,D00UZR,T85799,D0EK0G,11572699,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
182,D00UZR,T85799,D0A5RM,9859248,C1=CC(=O)C=CC1=NNC2=C(NN=C2N)N
183,D00UZR,T85799,D06AOY,15422868,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CNC4=CC=CC=C43
184,D00UZR,T85799,D00NYT,10946795,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=C(C=C3)OC
185,D00UZR,T85799,D0C3WY,2752461,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
187,D00UZR,T85799,D0W6CE,10644450,CCC(C)C1C(C2C(CC(CC2(C(=O)C1(C)O)O)(C)O)C)(C)C(=O)C=COC
457,D02ZQS,T51282,D0B9BU,6918454,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
466,D02ZQS,T51282,D0TO6S,2396,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
467,D02ZQS,T51282,D0L8HO,0,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
468,D02ZQS,T51282,D0N6ES,0,CN(C(CC1=CC=C(C=C1)OS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C(=O)N4CCN(CC4)C5=CC=CC=C5)S(=O)(=O)C6=CC=CC7=C6C=CN=C7
469,D02ZQS,T51282,D0O1YH,0,C1(=C(C2=NNN=C2C(=C1Br)Br)Br)Br
470,D02ZQS,T51282,D0M5FF,0,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N
487,D05UFG,T14597,D0A9OV,6444692,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F
490,D05UFG,T14597,D0Z4RC,24756910,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO
491,D05UFG,T14597,D9FJ5V,154824631,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)OCCN5CCOCC5
494,D05UFG,T14597,D00YER,25127713,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=C(C=C3)Cl)Cl)F)OC4CCN(CC4)C(=O)C=C
495,D05UFG,T14597,D0U4FF,10437018,CC1=C2C(=NC=NN2C=C1NC(=O)OCC3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
496,D05UFG,T14597,D0YB3W,156414,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
497,D05UFG,T14597,DUW81M,51038316,CN1C=NC(=C1C[N+](C)(C)CC=CC(=O)NC2=NC=C3C(=C2)C(=NC=N3)NC4=CC(=C(C=C4)Cl)Br)[N+](=O)[O-]
498,D05UFG,T14597,D00NYJ,42642648,CC1COC(=N1)NC2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=NC=CS5)Cl
501,D05UFG,T14597,D0Q9CY,9915743,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C
503,D05UFG,T14597,D0F0ZE,153241,COC1=C(C=CC(=C1)NC(=O)NC2=CC=CC(=C2)CNC(=O)OC3CCOC3)C4=CN=CO4
505,D05UFG,T14597,D06XXH,11511120,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C=CCN4CCCCC4
507,D05UFG,T14597,D0U1ZV,67307512,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C.C(=CC(=O)O)C(=O)O
514,D05UFG,T59328,D0E5IP,3795,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)O)Br)OC
518,D05UFG,T59328,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
548,D05UFG,T59328,D0D9TU,3894,C1=CC=C(C(=C1)CN(CC2=C(C=CC(=C2)O)O)C3=CC(=C(C=C3)O)C(=O)O)O
557,D05UFG,T59328,D0EK0G,11572699,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
562,D05UFG,T59328,D06AOY,15422868,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CNC4=CC=CC=C43
563,D05UFG,T59328,D09XIL,11396738,COC1=CC=C(C=C1)N2CC3=CN=C(N=C3N(C2=O)C4CCC(C4)O)NC5=CC=C(C=C5)F
564,D05UFG,T59328,D00NYT,10946795,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=C(C=C3)OC
565,D05UFG,T59328,D0C3WY,2752461,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
567,D05UFG,T59328,D0P3JW,0,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=CC(=C4)CO
568,D05UFG,T59328,D0GW4Q,5330524,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=C(C=C4)F
569,D05UFG,T59328,D0D5EW,5311104,CC1=C(C=CC(=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl)F
571,D05UFG,T59328,D0W6CE,10644450,CCC(C)C1C(C2C(CC(CC2(C(=O)C1(C)O)O)(C)O)C)(C)C(=O)C=COC
585,D05UFG,T59328,D0N8TQ,0,C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC=C3
598,D05UFG,T59328,D0R6UV,11349170,COC1=CC=CC(=C1)NC2=NC=NN3C2=C(C=C3)CN4CCC(C(C4)O)N
599,D05UFG,T59328,D0P6DJ,0,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4
617,D05UFG,T59328,D03MNN,11341869,CN1CCN(CC1)CC2=CC(=CO2)C3=C(C=C4C(=C3)N=CC(=C4NC5=CC(=C(C=C5Cl)Cl)OC)C#N)OC
619,D05UFG,T59328,D0G6QF,3081361,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
630,D08CDI,T59328,D0E5IP,3795,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)O)Br)OC
634,D08CDI,T59328,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
664,D08CDI,T59328,D0D9TU,3894,C1=CC=C(C(=C1)CN(CC2=C(C=CC(=C2)O)O)C3=CC(=C(C=C3)O)C(=O)O)O
673,D08CDI,T59328,D0EK0G,11572699,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
678,D08CDI,T59328,D06AOY,15422868,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CNC4=CC=CC=C43
679,D08CDI,T59328,D09XIL,11396738,COC1=CC=C(C=C1)N2CC3=CN=C(N=C3N(C2=O)C4CCC(C4)O)NC5=CC=C(C=C5)F
680,D08CDI,T59328,D00NYT,10946795,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=C(C=C3)OC
681,D08CDI,T59328,D0C3WY,2752461,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
683,D08CDI,T59328,D0P3JW,0,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=CC(=C4)CO
684,D08CDI,T59328,D0GW4Q,5330524,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=C(C=C4)F
685,D08CDI,T59328,D0D5EW,5311104,CC1=C(C=CC(=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl)F
687,D08CDI,T59328,D0W6CE,10644450,CCC(C)C1C(C2C(CC(CC2(C(=O)C1(C)O)O)(C)O)C)(C)C(=O)C=COC
701,D08CDI,T59328,D0N8TQ,0,C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC=C3
706,D08CDI,T59328,D0A9OV,6444692,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F
711,D08CDI,T59328,D0Z4RC,24756910,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO
712,D08CDI,T59328,D9FJ5V,154824631,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)OCCN5CCOCC5
714,D08CDI,T59328,D0R6UV,11349170,COC1=CC=CC(=C1)NC2=NC=NN3C2=C(C=C3)CN4CCC(C(C4)O)N
715,D08CDI,T59328,D0P6DJ,0,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4
717,D08CDI,T59328,D0U4FF,10437018,CC1=C2C(=NC=NN2C=C1NC(=O)OCC3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
718,D08CDI,T59328,D0YB3W,156414,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
719,D08CDI,T59328,D00YER,25127713,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=C(C=C3)Cl)Cl)F)OC4CCN(CC4)C(=O)C=C
720,D08CDI,T59328,DUW81M,51038316,CN1C=NC(=C1C[N+](C)(C)CC=CC(=O)NC2=NC=C3C(=C2)C(=NC=N3)NC4=CC(=C(C=C4)Cl)Br)[N+](=O)[O-]
721,D08CDI,T59328,D00NYJ,42642648,CC1COC(=N1)NC2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=NC=CS5)Cl
724,D08CDI,T59328,D0Q9CY,9915743,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C
727,D08CDI,T59328,D0F0ZE,153241,COC1=C(C=CC(=C1)NC(=O)NC2=CC=CC(=C2)CNC(=O)OC3CCOC3)C4=CN=CO4
732,D08CDI,T59328,D03MNN,11341869,CN1CCN(CC1)CC2=CC(=CO2)C3=C(C=C4C(=C3)N=CC(=C4NC5=CC(=C(C=C5Cl)Cl)OC)C#N)OC
733,D08CDI,T59328,D06XXH,11511120,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C=CCN4CCCCC4
735,D08CDI,T59328,D0G6QF,3081361,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
736,D08CDI,T59328,D0U1ZV,67307512,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C.C(=CC(=O)O)C(=O)O
771,D0BM7M,T14597,D0A9OV,6444692,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F
774,D0BM7M,T14597,D0Z4RC,24756910,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO
775,D0BM7M,T14597,D9FJ5V,154824631,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)OCCN5CCOCC5
777,D0BM7M,T14597,D00YER,25127713,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=C(C=C3)Cl)Cl)F)OC4CCN(CC4)C(=O)C=C
778,D0BM7M,T14597,D0U4FF,10437018,CC1=C2C(=NC=NN2C=C1NC(=O)OCC3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
779,D0BM7M,T14597,D0YB3W,156414,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
780,D0BM7M,T14597,DUW81M,51038316,CN1C=NC(=C1C[N+](C)(C)CC=CC(=O)NC2=NC=C3C(=C2)C(=NC=N3)NC4=CC(=C(C=C4)Cl)Br)[N+](=O)[O-]
781,D0BM7M,T14597,D00NYJ,42642648,CC1COC(=N1)NC2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=NC=CS5)Cl
784,D0BM7M,T14597,D0Q9CY,9915743,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C
786,D0BM7M,T14597,D0F0ZE,153241,COC1=C(C=CC(=C1)NC(=O)NC2=CC=CC(=C2)CNC(=O)OC3CCOC3)C4=CN=CO4
788,D0BM7M,T14597,D06XXH,11511120,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C=CCN4CCCCC4
791,D0BM7M,T14597,D0U1ZV,67307512,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C.C(=CC(=O)O)C(=O)O
798,D07POC,T59328,D0E5IP,3795,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)O)Br)OC
802,D07POC,T59328,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
832,D07POC,T59328,D0D9TU,3894,C1=CC=C(C(=C1)CN(CC2=C(C=CC(=C2)O)O)C3=CC(=C(C=C3)O)C(=O)O)O
841,D07POC,T59328,D0EK0G,11572699,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
846,D07POC,T59328,D06AOY,15422868,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CNC4=CC=CC=C43
847,D07POC,T59328,D09XIL,11396738,COC1=CC=C(C=C1)N2CC3=CN=C(N=C3N(C2=O)C4CCC(C4)O)NC5=CC=C(C=C5)F
848,D07POC,T59328,D00NYT,10946795,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=C(C=C3)OC
849,D07POC,T59328,D0C3WY,2752461,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
851,D07POC,T59328,D0P3JW,0,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=CC(=C4)CO
852,D07POC,T59328,D0GW4Q,5330524,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=C(C=C4)F
853,D07POC,T59328,D0D5EW,5311104,CC1=C(C=CC(=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl)F
855,D07POC,T59328,D0W6CE,10644450,CCC(C)C1C(C2C(CC(CC2(C(=O)C1(C)O)O)(C)O)C)(C)C(=O)C=COC
869,D07POC,T59328,D0N8TQ,0,C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC=C3
874,D07POC,T59328,D0A9OV,6444692,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F
879,D07POC,T59328,D0Z4RC,24756910,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO
880,D07POC,T59328,D9FJ5V,154824631,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)OCCN5CCOCC5
882,D07POC,T59328,D0R6UV,11349170,COC1=CC=CC(=C1)NC2=NC=NN3C2=C(C=C3)CN4CCC(C(C4)O)N
883,D07POC,T59328,D0P6DJ,0,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4
885,D07POC,T59328,D0U4FF,10437018,CC1=C2C(=NC=NN2C=C1NC(=O)OCC3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
886,D07POC,T59328,D0YB3W,156414,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
887,D07POC,T59328,D00YER,25127713,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=C(C=C3)Cl)Cl)F)OC4CCN(CC4)C(=O)C=C
888,D07POC,T59328,DUW81M,51038316,CN1C=NC(=C1C[N+](C)(C)CC=CC(=O)NC2=NC=C3C(=C2)C(=NC=N3)NC4=CC(=C(C=C4)Cl)Br)[N+](=O)[O-]
889,D07POC,T59328,D00NYJ,42642648,CC1COC(=N1)NC2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=NC=CS5)Cl
892,D07POC,T59328,D0Q9CY,9915743,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C
895,D07POC,T59328,D0F0ZE,153241,COC1=C(C=CC(=C1)NC(=O)NC2=CC=CC(=C2)CNC(=O)OC3CCOC3)C4=CN=CO4
900,D07POC,T59328,D03MNN,11341869,CN1CCN(CC1)CC2=CC(=CO2)C3=C(C=C4C(=C3)N=CC(=C4NC5=CC(=C(C=C5Cl)Cl)OC)C#N)OC
901,D07POC,T59328,D06XXH,11511120,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C=CCN4CCCCC4
903,D07POC,T59328,D0G6QF,3081361,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
904,D07POC,T59328,D0U1ZV,67307512,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C.C(=CC(=O)O)C(=O)O
908,D08XVZ,T58970,D0B9BU,6918454,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
912,D08XVZ,T58970,D0M4SY,0,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NCC(C4=CC(=CC=C4)Cl)O)N5CCOCC5
914,D08XVZ,T58970,D0TO6S,2396,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
916,D08XVZ,T58970,D0L8HO,0,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
917,D08XVZ,T58970,D0N6ES,0,CN(C(CC1=CC=C(C=C1)OS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C(=O)N4CCN(CC4)C5=CC=CC=C5)S(=O)(=O)C6=CC=CC7=C6C=CN=C7
918,D08XVZ,T58970,D0O1YH,0,C1(=C(C2=NNN=C2C(=C1Br)Br)Br)Br
919,D08XVZ,T58970,D0A5RM,9859248,C1=CC(=O)C=CC1=NNC2=C(NN=C2N)N
920,D08XVZ,T58970,D0M5FF,0,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N
921,D08XVZ,T58970,D09XIL,11396738,COC1=CC=C(C=C1)N2CC3=CN=C(N=C3N(C2=O)C4CCC(C4)O)NC5=CC=C(C=C5)F
944,D05USL,T81735,D0R0TW,11964036,CCN1CCN(CC1)CC(=O)NC2=C3C4=CC=CC=C4SC3=C(C=C2)C5=CC=CC6=C5OC(=CC6=O)N7CCOCC7
947,D05USL,T81735,D00HSJ,10275789,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)N=CC2=CN=C3N2C=C(C=C3)Br
948,D05USL,T81735,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
1003,D05USL,T81735,D07APP,131255,C1COCCN1C2=CC(=O)C3=CC=CC=C3O2
1004,D05USL,T81735,D0W1ST,9860529,C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3
1048,D0Y3OO,T81735,D0R0TW,11964036,CCN1CCN(CC1)CC(=O)NC2=C3C4=CC=CC=C4SC3=C(C=C2)C5=CC=CC6=C5OC(=CC6=O)N7CCOCC7
1051,D0Y3OO,T81735,D00HSJ,10275789,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)N=CC2=CN=C3N2C=C(C=C3)Br
1052,D0Y3OO,T81735,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
1106,D0Y3OO,T81735,D07APP,131255,C1COCCN1C2=CC(=O)C3=CC=CC=C3O2
