,drug_name,targets,shared_by,shared_by_cid,shared_by_smiles
1107,D0Y3OO,T81735,D0W1ST,9860529,C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3
1157,D01GFX,T48069,D0M4SY,0,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NCC(C4=CC(=CC=C4)Cl)O)N5CCOCC5
1165,D02QWY,T67619,D0B9BU,6918454,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
1173,D02QWY,T67619,D0M4SY,0,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NCC(C4=CC(=CC=C4)Cl)O)N5CCOCC5
1174,D02QWY,T67619,D0L8HO,0,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
1175,D02QWY,T67619,D0TO6S,2396,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
1177,D02QWY,T67619,D0N6ES,0,CN(C(CC1=CC=C(C=C1)OS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C(=O)N4CCN(CC4)C5=CC=CC=C5)S(=O)(=O)C6=CC=CC7=C6C=CN=C7
1179,D02QWY,T67619,D0O1YH,0,C1(=C(C2=NNN=C2C(=C1Br)Br)Br)Br
1180,D02QWY,T67619,D0A5RM,9859248,C1=CC(=O)C=CC1=NNC2=C(NN=C2N)N
1182,D02QWY,T67619,D0M5FF,0,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N
1190,D02QWY,T67619,D0YB3W,156414,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
1194,D05CDF,T31406,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
1218,D02XNW,T87675,D0CY1B,6420138,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
1226,D02XNW,T87675,D0A1AQ,5329099,CC1=C(NC(=C1CCC(=O)O)C)C=C2C3=CC=CC=C3NC2=O
1227,D02XNW,T12499,D0B9BU,6918454,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
1239,D02XNW,T12499,D0M4SY,0,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NCC(C4=CC(=CC=C4)Cl)O)N5CCOCC5
1242,D02XNW,T12499,D0L8HO,0,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
1245,D02XNW,T12499,D0TO6S,2396,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
1251,D02XNW,T12499,D0D9TU,3894,C1=CC=C(C(=C1)CN(CC2=C(C=CC(=C2)O)O)C3=CC(=C(C=C3)O)C(=O)O)O
1252,D02XNW,T12499,D0H1OK,11562302,CC1=CC(=CC2=C1N=C(N=N2)NC3=CC=C(C=C3)OCCN4CCCC4)C5=C(C=CC=C5Cl)Cl
1253,D02XNW,T12499,D0N6ES,0,CN(C(CC1=CC=C(C=C1)OS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C(=O)N4CCN(CC4)C5=CC=CC=C5)S(=O)(=O)C6=CC=CC7=C6C=CN=C7
1254,D02XNW,T12499,D0O1YH,0,C1(=C(C2=NNN=C2C(=C1Br)Br)Br)Br
1256,D02XNW,T12499,D03NPX,447077,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC
1259,D02XNW,T12499,D0M5FF,0,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N
1260,D02XNW,T12499,D0P3JW,0,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=CC(=C4)CO
1262,D02XNW,T12499,D0GW4Q,5330524,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=C(C=C4)F
1265,D02XNW,T12499,D0D5EW,5311104,CC1=C(C=CC(=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl)F
1300,D0QC0W,T87675,D0CY1B,6420138,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
1309,D0QC0W,T87675,D0A1AQ,5329099,CC1=C(NC(=C1CCC(=O)O)C)C=C2C3=CC=CC=C3NC2=O
1459,D0S4JK,T87675,D0CY1B,6420138,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
1467,D0S4JK,T87675,D0A1AQ,5329099,CC1=C(NC(=C1CCC(=O)O)C)C=C2C3=CC=CC=C3NC2=O
1476,D0W5HK,T80975,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
1511,D0W5HK,T80975,D0M4SY,0,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NCC(C4=CC(=CC=C4)Cl)O)N5CCOCC5
1517,D0W5HK,T80975,D0H1OK,11562302,CC1=CC(=CC2=C1N=C(N=N2)NC3=CC=C(C=C3)OCCN4CCCC4)C5=C(C=CC=C5Cl)Cl
1525,D0W5HK,T80975,D0EK0G,11572699,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
1533,D0W5HK,T80975,D09XIL,11396738,COC1=CC=C(C=C1)N2CC3=CN=C(N=C3N(C2=O)C4CCC(C4)O)NC5=CC=C(C=C5)F
1534,D0W5HK,T80975,D00NYT,10946795,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=C(C=C3)OC
1535,D0W5HK,T80975,D0C3WY,2752461,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
1548,D0W5HK,T80975,D0CY1B,6420138,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
1554,D0W5HK,T80975,D0R6UV,11349170,COC1=CC=CC(=C1)NC2=NC=NN3C2=C(C=C3)CN4CCC(C(C4)O)N
1555,D0W5HK,T80975,D0P6DJ,0,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4
1565,D0W5HK,T80975,D0A1AQ,5329099,CC1=C(NC(=C1CCC(=O)O)C)C=C2C3=CC=CC=C3NC2=O
1566,D0W5HK,T80975,D0Q9CY,9915743,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C
1575,D0W5HK,T80975,D0G6QF,3081361,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
1591,D0W5HK,T57700,D0P3JW,0,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=CC(=C4)CO
1592,D0W5HK,T57700,D0GW4Q,5330524,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=C(C=C4)F
1676,D0W5HK,T59102,D03NPX,447077,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC
1690,D0W5HK,T59102,D0D5EW,5311104,CC1=C(C=CC(=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl)F
1728,D0W5HK,T59328,D0E5IP,3795,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)O)Br)OC
1762,D0W5HK,T59328,D0D9TU,3894,C1=CC=C(C(=C1)CN(CC2=C(C=CC(=C2)O)O)C3=CC(=C(C=C3)O)C(=O)O)O
1776,D0W5HK,T59328,D06AOY,15422868,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CNC4=CC=CC=C43
1785,D0W5HK,T59328,D0W6CE,10644450,CCC(C)C1C(C2C(CC(CC2(C(=O)C1(C)O)O)(C)O)C)(C)C(=O)C=COC
1799,D0W5HK,T59328,D0N8TQ,0,C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC=C3
1804,D0W5HK,T59328,D0A9OV,6444692,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F
1809,D0W5HK,T59328,D0Z4RC,24756910,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO
1810,D0W5HK,T59328,D9FJ5V,154824631,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)OCCN5CCOCC5
1815,D0W5HK,T59328,D0U4FF,10437018,CC1=C2C(=NC=NN2C=C1NC(=O)OCC3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
1816,D0W5HK,T59328,D0YB3W,156414,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
1817,D0W5HK,T59328,D00YER,25127713,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=C(C=C3)Cl)Cl)F)OC4CCN(CC4)C(=O)C=C
1818,D0W5HK,T59328,DUW81M,51038316,CN1C=NC(=C1C[N+](C)(C)CC=CC(=O)NC2=NC=C3C(=C2)C(=NC=N3)NC4=CC(=C(C=C4)Cl)Br)[N+](=O)[O-]
1819,D0W5HK,T59328,D00NYJ,42642648,CC1COC(=N1)NC2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=NC=CS5)Cl
1825,D0W5HK,T59328,D0F0ZE,153241,COC1=C(C=CC(=C1)NC(=O)NC2=CC=CC(=C2)CNC(=O)OC3CCOC3)C4=CN=CO4
1831,D0W5HK,T59328,D03MNN,11341869,CN1CCN(CC1)CC2=CC(=CO2)C3=C(C=C4C(=C3)N=CC(=C4NC5=CC(=C(C=C5Cl)Cl)OC)C#N)OC
1832,D0W5HK,T59328,D06XXH,11511120,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C=CCN4CCCCC4
1835,D0W5HK,T59328,D0U1ZV,67307512,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C.C(=CC(=O)O)C(=O)O
1840,D04LKS,T08391,D0E5IP,3795,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)O)Br)OC
1882,D0W7HE,T80276,D05CBJ,49784945,CS(=O)(=O)N1CCC2=C(N=C(N=C21)N3CCOCC3)C4=CN=C(N=C4)N
1889,D0W7HE,T80276,D01QSO,16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4
1895,D08QGT,T95913,D0R0TW,11964036,CCN1CCN(CC1)CC(=O)NC2=C3C4=CC=CC=C4SC3=C(C=C2)C5=CC=CC6=C5OC(=CC6=O)N7CCOCC7
1899,D08QGT,T95913,D00HSJ,10275789,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)N=CC2=CN=C3N2C=C(C=C3)Br
1900,D08QGT,T95913,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
1906,D08QGT,T95913,D07APP,131255,C1COCCN1C2=CC(=O)C3=CC=CC=C3O2
1907,D08QGT,T95913,D0W1ST,9860529,C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3
1920,D08QGT,T95913,D05CBJ,49784945,CS(=O)(=O)N1CCC2=C(N=C(N=C21)N3CCOCC3)C4=CN=C(N=C4)N
1926,D08QGT,T95913,D0TU7B,58507717,C1COCCN1C2=NC(=NC(=N2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4
1938,D08QGT,T95913,D01QSO,16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4
1954,D0D0QA,T05031,D05CBJ,49784945,CS(=O)(=O)N1CCC2=C(N=C(N=C21)N3CCOCC3)C4=CN=C(N=C4)N
1955,D0D0QA,T05031,D0R0TW,11964036,CCN1CCN(CC1)CC(=O)NC2=C3C4=CC=CC=C4SC3=C(C=C2)C5=CC=CC6=C5OC(=CC6=O)N7CCOCC7
1958,D0D0QA,T05031,D00HSJ,10275789,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)N=CC2=CN=C3N2C=C(C=C3)Br
1959,D0D0QA,T05031,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
1963,D0D0QA,T05031,D0TU7B,58507717,C1COCCN1C2=NC(=NC(=N2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4
1964,D0D0QA,T05031,D01QSO,16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4
1968,D0VG0D,T75243,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
1971,D0VG0D,T75243,D0W1ST,9860529,C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3
1992,D0VG0D,T75243,D0TU7B,58507717,C1COCCN1C2=NC(=NC(=N2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4
2014,D0VG0D,T95913,D0R0TW,11964036,CCN1CCN(CC1)CC(=O)NC2=C3C4=CC=CC=C4SC3=C(C=C2)C5=CC=CC6=C5OC(=CC6=O)N7CCOCC7
2018,D0VG0D,T95913,D00HSJ,10275789,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)N=CC2=CN=C3N2C=C(C=C3)Br
2025,D0VG0D,T95913,D07APP,131255,C1COCCN1C2=CC(=O)C3=CC=CC=C3O2
2039,D0VG0D,T95913,D05CBJ,49784945,CS(=O)(=O)N1CCC2=C(N=C(N=C21)N3CCOCC3)C4=CN=C(N=C4)N
2057,D0VG0D,T95913,D01QSO,16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4
2062,D0UP1Z,T80276,D05CBJ,49784945,CS(=O)(=O)N1CCC2=C(N=C(N=C21)N3CCOCC3)C4=CN=C(N=C4)N
2068,D0UP1Z,T80276,D01QSO,16654980,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4
2075,D0UP1Z,T95913,D0R0TW,11964036,CCN1CCN(CC1)CC(=O)NC2=C3C4=CC=CC=C4SC3=C(C=C2)C5=CC=CC6=C5OC(=CC6=O)N7CCOCC7
2079,D0UP1Z,T95913,D00HSJ,10275789,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)N=CC2=CN=C3N2C=C(C=C3)Br
2080,D0UP1Z,T95913,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
2086,D0UP1Z,T95913,D07APP,131255,C1COCCN1C2=CC(=O)C3=CC=CC=C3O2
2087,D0UP1Z,T95913,D0W1ST,9860529,C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3
2106,D0UP1Z,T95913,D0TU7B,58507717,C1COCCN1C2=NC(=NC(=N2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4
2134,D0Y4LI,T94479,D0B9BU,6918454,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
2139,D0Y4LI,T94479,D0L8HO,0,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
2140,D0Y4LI,T94479,D0N6ES,0,CN(C(CC1=CC=C(C=C1)OS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C(=O)N4CCN(CC4)C5=CC=CC=C5)S(=O)(=O)C6=CC=CC7=C6C=CN=C7
2141,D0Y4LI,T94479,D0O1YH,0,C1(=C(C2=NNN=C2C(=C1Br)Br)Br)Br
2142,D0Y4LI,T94479,D0A5RM,9859248,C1=CC(=O)C=CC1=NNC2=C(NN=C2N)N
2143,D0Y4LI,T94479,D0M5FF,0,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N
2149,D0H7XL,T75243,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
2152,D0H7XL,T75243,D0W1ST,9860529,C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3
2173,D0H7XL,T75243,D0TU7B,58507717,C1COCCN1C2=NC(=NC(=N2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4
2213,D0VF6E,T85943,D0N8TQ,0,C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC=C3
2216,D0VF6E,T85943,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
2262,D0VF6E,T85943,D0H1OK,11562302,CC1=CC(=CC2=C1N=C(N=N2)NC3=CC=C(C=C3)OCCN4CCCC4)C5=C(C=CC=C5Cl)Cl
2267,D0VF6E,T85943,D03NPX,447077,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC
2293,D0VF6E,T85943,D0P3JW,0,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=CC(=C4)CO
2295,D0VF6E,T85943,D0GW4Q,5330524,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=C(C=C4)F
2298,D0VF6E,T85943,D0D5EW,5311104,CC1=C(C=CC(=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl)F
2318,D0VF6E,T85943,D03MNN,11341869,CN1CCN(CC1)CC2=CC(=CO2)C3=C(C=C4C(=C3)N=CC(=C4NC5=CC(=C(C=C5Cl)Cl)OC)C#N)OC
2343,D01ZRI,T80975,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
2378,D01ZRI,T80975,D0M4SY,0,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NCC(C4=CC(=CC=C4)Cl)O)N5CCOCC5
2384,D01ZRI,T80975,D0H1OK,11562302,CC1=CC(=CC2=C1N=C(N=N2)NC3=CC=C(C=C3)OCCN4CCCC4)C5=C(C=CC=C5Cl)Cl
2392,D01ZRI,T80975,D0EK0G,11572699,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
2400,D01ZRI,T80975,D09XIL,11396738,COC1=CC=C(C=C1)N2CC3=CN=C(N=C3N(C2=O)C4CCC(C4)O)NC5=CC=C(C=C5)F
2401,D01ZRI,T80975,D00NYT,10946795,COC1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=C(C=C3)OC
2402,D01ZRI,T80975,D0C3WY,2752461,C1=CC=C(C=C1)C2=C(C(=O)NC2=O)C3=CC=CC=C3
2415,D01ZRI,T80975,D0CY1B,6420138,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
2421,D01ZRI,T80975,D0R6UV,11349170,COC1=CC=CC(=C1)NC2=NC=NN3C2=C(C=C3)CN4CCC(C(C4)O)N
2422,D01ZRI,T80975,D0P6DJ,0,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4
2432,D01ZRI,T80975,D0A1AQ,5329099,CC1=C(NC(=C1CCC(=O)O)C)C=C2C3=CC=CC=C3NC2=O
2433,D01ZRI,T80975,D0Q9CY,9915743,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)C=CCN(C)C
2442,D01ZRI,T80975,D0G6QF,3081361,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
2446,D0E6XR,T85943,D0N8TQ,0,C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC=C3
2449,D0E6XR,T85943,D03EHM,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N
2495,D0E6XR,T85943,D0H1OK,11562302,CC1=CC(=CC2=C1N=C(N=N2)NC3=CC=C(C=C3)OCCN4CCCC4)C5=C(C=CC=C5Cl)Cl
2500,D0E6XR,T85943,D03NPX,447077,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC
2526,D0E6XR,T85943,D0P3JW,0,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=CC(=C4)CO
2528,D0E6XR,T85943,D0GW4Q,5330524,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=C(C=C4)F
2531,D0E6XR,T85943,D0D5EW,5311104,CC1=C(C=CC(=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl)F
2551,D0E6XR,T85943,D03MNN,11341869,CN1CCN(CC1)CC2=CC(=CO2)C3=C(C=C4C(=C3)N=CC(=C4NC5=CC(=C(C=C5Cl)Cl)OC)C#N)OC
2616,D0E6XR,T12499,D0B9BU,6918454,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
2628,D0E6XR,T12499,D0M4SY,0,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NCC(C4=CC(=CC=C4)Cl)O)N5CCOCC5
2631,D0E6XR,T12499,D0L8HO,0,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
2634,D0E6XR,T12499,D0TO6S,2396,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
2640,D0E6XR,T12499,D0D9TU,3894,C1=CC=C(C(=C1)CN(CC2=C(C=CC(=C2)O)O)C3=CC(=C(C=C3)O)C(=O)O)O
2642,D0E6XR,T12499,D0N6ES,0,CN(C(CC1=CC=C(C=C1)OS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C(=O)N4CCN(CC4)C5=CC=CC=C5)S(=O)(=O)C6=CC=CC7=C6C=CN=C7
2643,D0E6XR,T12499,D0O1YH,0,C1(=C(C2=NNN=C2C(=C1Br)Br)Br)Br
2648,D0E6XR,T12499,D0M5FF,0,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N
2664,D0E6XR,T17980,D09XIL,11396738,COC1=CC=C(C=C1)N2CC3=CN=C(N=C3N(C2=O)C4CCC(C4)O)NC5=CC=C(C=C5)F
2675,D03ZBT,T40474,D0M4SY,0,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NCC(C4=CC(=CC=C4)Cl)O)N5CCOCC5
